"escuela","sexo","edad","ambito","grupo_familiar","estado_padres","educ_madre","educ_padre","trabajo_madre","trabajo_padre","razon_escuela","tutor","duracion_viaje","tiempo_estudio","asignaturas_perdidas","becas","apoyo_familiar","clases_particulares","act_extracurriculares","fue_guarderia","quiere_educ_superior","internet_casa","en_pareja","rel_familia","tiempo_libre","sale_con_amigos","alcohol_diario","alcohol_semanal","salud","ausencias","nota_1er_parcial","nota_2do_parcial","nota_final"
"GP","F",18,"urbano","mas de 3","separados","universitaria","universitaria","desde casa","educacion","cursos","madre","15 a 30 min","2 a 5 horas",0,"si","no","no","no","si","si","no","no","buena","mas o menos","mucho","muy poco","muy poco","mas o menos",6,5,6,6
"GP","F",17,"urbano","mas de 3","","primaria (hasta 4to)","primaria (hasta 4to)","desde casa","","cursos","padre","1 a 15 min","2 a 5 horas",0,"no","si","no","no","no","si","si","no","muy buena","mas o menos","mas o menos","muy poco","muy poco","mas o menos",4,5,5,6
"GP","F",15,"urbano","menos de 3","juntos","primaria (hasta 4to)","primaria (hasta 4to)","desde casa","otro","otra","madre","1 a 15 min","2 a 5 horas",3,"si","no","si","no","si","si","si","no","buena","mas o menos","poco","poco","mas o menos","mas o menos",10,7,8,10
"GP","F",15,"urbano","mas de 3","","universitaria","primaria (hasta 9no)","salud","servicios publicos","cerca de casa","madre","1 a 15 min","5 a 10 horas",0,"no","si","si","si","","si","","si","mas o menos","poco","poco","muy poco","muy poco","muy buena",2,15,14,15
"GP","F",16,"urbano","mas de 3","","secundaria","secundaria","otro","","cerca de casa","padre","1 a 15 min","2 a 5 horas",0,"no","si","si","no","si","","no","no","buena","mas o menos","poco","muy poco","poco","muy buena",4,6,10,10
"GP","M",16,"urbano","menos de 3","","universitaria","secundaria","servicios publicos","otro","reputacion","madre","1 a 15 min","2 a 5 horas",0,"","si","si","si","","si","si","no","muy buena","mucho","poco","muy poco","poco","muy buena",10,15,15,15
"GP","M",16,"urbano","menos de 3","juntos","primaria (hasta 9no)","primaria (hasta 9no)","otro","otro","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"no","no","no","no","si","si","si","no","buena","mucho","mucho","muy poco","muy poco","mas o menos",0,12,12,11
"GP","F",17,"urbano","mas de 3","separados","universitaria","universitaria","otro","educacion","cerca de casa","","15 a 30 min","2 a 5 horas",0,"si","si","no","no","si","si","no","no","buena","muy poco","mucho","muy poco","muy poco","muy mala",6,6,5,6
"GP","M",15,"urbano","menos de 3","separados","secundaria","primaria (hasta 9no)","servicios publicos","otro","cerca de casa","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","no","si","","si","no","buena","poco","poco","muy poco","muy poco","muy mala",0,16,18,19
"GP","M",15,"urbano","mas de 3","","secundaria","universitaria","otro","otro","cerca de casa","","1 a 15 min","2 a 5 horas",0,"no","si","si","si","","si","si","no","muy buena","muchisimo","muy poco","muy poco","muy poco","muy buena",0,14,15,15
"GP","F",15,"urbano","mas de 3","juntos","universitaria","universitaria","educacion","salud","reputacion","madre","1 a 15 min","2 a 5 horas",0,"no","si","si","no","si","si","si","no","mas o menos","mas o menos","mas o menos","muy poco","poco","mala",0,10,8,9
